sample_id,latitude,longitude,region_id,region,donor,Accipitridae,Spotted sandpiper,Western grebe,Mandarin duck,Aix_sp.,Alosa_sp.,Ambystoma_sp.,Mallard,Anas_sp.,Anatidae,Anaxyrus_sp.,Greylag goose,Chuck-will's-widow,Anura,American bullfrog,Artiodactyla,Greater scaup,Aves (class),Northern short-tailed shrew,Cattle,Common goldeneye,Rough-legged hawk,Red-shouldered hawk,Broad-winged hawk,Buteo_sp.,Northern cardinal,North American beaver,Veery,Catharus_sp.,Killdeer,Common nighthawk,Southern redbelly dace,Long-tailed duck,Northern bobwhite,Columbidae,Common raven,Japanese quail,Cricetidae,North American least shrew,Trumpeter swan,Mute swan,Cypriniformes,Virginia opossum,Emydidae,Horned lark,American coot,Galliformes,Chicken,Southern flying squirrel,Evening grosbeak,Hirundinidae,Barn swallow,Ictaluridae,Thirteen-lined ground squirrel,Mississippi kite,Loggerhead shrike,Laridae,Larus_sp.,Vega gull,Black rail,Leporidae,River otter,Groundhog,Melanerpes woodpecker,Wild turkey,Song sparrow,Prairie vole,Meadow vole,Woodland vole,Microtus_sp.,Muridae,House mouse,Mus_sp.,Least weasel,Mustelidae,Long-tailed weasel,Neogale_sp.,Mink,Helmeted guineafowl,White-tailed deer,Muskrat,European rabbit,Ruddy duck,Osprey,Parulidae,Passer_sp.,Passerellidae,Passeriformes,White-footed mouse,Deermice,Peromyscus_sp.,Phasianidae,Ring-necked pheasant,Picidae,Pine grosbeak,Roseate spoonbill,Horned grebe,Eared grebe,Podicipedidae,Pied-billed grebe,Raccoon,Ranidae,Norway rat,Rodentia,Sciuridae,Eastern gray squirrel,Fox squirrel,Sciurus_sp.,Scolopacidae,Masked shrew,Soricidae,Chipping sparrow,Eurasian collared-dove,Sturnella_sp.,European starling,Wild boar,Eastern cottontail,Southern bog lemming,Eastern chipmunk,Red squirrel,Badger,Pond slider,Spotted redshank,Willet,Turdidae,American robin,Red-eyed vireo,White-winged dove
3-01-378,39.98221477,-87.21448487,1,W_IN,coyote,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
3-02-334,40.14454515,-86.9560491,1,W_IN,coyote,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0
3-03-055,40.3663,-87.1676,1,W_IN,bobcat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3-03-090,40.3662,-87.1742,1,W_IN,bobcat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
3-04-053,40.5223,-86.4681,1,W_IN,bobcat,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0
3-04-207,40.5107567,-86.49748876,1,W_IN,bobcat,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
3-04-208,40.51095449,-86.53594148,1,W_IN,bobcat,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0
3-05-112,40.69338165,-87.49170031,1,W_IN,bobcat,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
3-05-116,40.69356215,-87.46645015,1,W_IN,coyote,0,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
3-05-183,40.70217831,-87.45798279,1,W_IN,coyote,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0
